SCI_NAME,TAXON_ORDER,PRIMARY_COM_NAME,CATEGORY,ORDER_NAME,FAMILY_NAME,SUBFAMILY_NAME,GENUS_NAME,SPECIES_NAME
Abeillia_abeillei,9016,Emerald-chinned_Hummingbird,species,Apodiformes,Trochilidae (Hummingbirds),?,Abeillia,abeillei
Aburria_aburri,699,Wattled_Guan,species,Galliformes,Cracidae (Guans- Chachalacas- and Curassows),?,Aburria,aburri
Acanthidops_bairdii,28962,Peg-billed_Finch,species,Passeriformes,Thraupidae (Tanagers and Allies),?,Acanthidops,bairdii
Acanthis_flammea,31009,Common_Redpoll,species,Passeriformes,Fringillidae (Siskins- Crossbills- and Allies),?,Acanthis,flammea
Acanthis_flammea_flammea,31010,Common_Redpoll_(flammea),issf,Passeriformes,Fringillidae (Siskins- Crossbills- and Allies),?,?,?
Acanthis_flammea_rostrata/islandica,31011,Common_Redpoll_(rostrata),issf,Passeriformes,Fringillidae (Siskins- Crossbills- and Allies),?,?,?
Acanthis_flammea/hornemanni,31019,Common/Hoary_Redpoll,slash,Passeriformes,Fringillidae (Siskins- Crossbills- and Allies),?,?,?
Acanthis_hornemanni,31016,Hoary_Redpoll,species,Passeriformes,Fringillidae (Siskins- Crossbills- and Allies),?,Acanthis,hornemanni
Acanthis_hornemanni_exilipes,31017,Hoary_Redpoll_(exilipes),issf,Passeriformes,Fringillidae (Siskins- Crossbills- and Allies),?,?,?
Acanthis_hornemanni_hornemanni,31018,Hoary_Redpoll_(hornemanni),issf,Passeriformes,Fringillidae (Siskins- Crossbills- and Allies),?,?,?
Acanthis/Spinus_sp.,31074,Acanthis/Spinus_sp.,spuh,Passeriformes,Fringillidae (Siskins- Crossbills- and Allies),?,?,?
Accipiter_bicolor,2826,Bicolored_Hawk,species,Accipitriformes,Accipitridae (Hawks- Eagles- and Kites),?,Accipiter,bicolor
Accipiter_bicolor_bicolor/fidens,2826.1,Bicolored_Hawk_(Bicolored),issf,Accipitriformes,Accipitridae (Hawks- Eagles- and Kites),?,?,?
Accipiter_bicolor_chilensis,2826.7,Bicolored_Hawk_(Chilean),issf,Accipitriformes,Accipitridae (Hawks- Eagles- and Kites),?,?,?
Accipiter_collaris,2761,Semicollared_Hawk,species,Accipitriformes,Accipitridae (Hawks- Eagles- and Kites),?,Accipiter,collaris
Accipiter_cooperii,2821,Cooper's_Hawk,species,Accipitriformes,Accipitridae (Hawks- Eagles- and Kites),?,Accipiter,cooperii
