"V1" "V2" "V3" "V4" "V5" "V6"
"1" TRUE TRUE TRUE TRUE FALSE FALSE
"2" TRUE TRUE TRUE TRUE FALSE FALSE
"3" TRUE TRUE TRUE TRUE FALSE FALSE
"4" TRUE TRUE TRUE TRUE FALSE FALSE
"5" TRUE TRUE TRUE TRUE FALSE FALSE
"6" TRUE TRUE TRUE TRUE FALSE FALSE
"7" TRUE TRUE TRUE TRUE FALSE FALSE
"8" TRUE TRUE TRUE TRUE FALSE FALSE
"9" TRUE TRUE TRUE TRUE FALSE FALSE
"10" TRUE TRUE TRUE TRUE FALSE FALSE
"11" TRUE TRUE TRUE TRUE FALSE FALSE
"12" TRUE TRUE TRUE TRUE FALSE FALSE
"13" TRUE TRUE TRUE TRUE FALSE FALSE
"14" TRUE TRUE TRUE TRUE FALSE FALSE
"15" TRUE TRUE TRUE TRUE FALSE FALSE
"16" TRUE TRUE TRUE TRUE FALSE FALSE
"17" TRUE TRUE TRUE TRUE FALSE FALSE
"18" TRUE TRUE TRUE TRUE FALSE FALSE
"19" TRUE TRUE TRUE TRUE FALSE FALSE
"20" TRUE TRUE TRUE TRUE FALSE FALSE
"21" TRUE TRUE TRUE TRUE FALSE FALSE
"22" TRUE TRUE TRUE TRUE FALSE FALSE
"23" TRUE TRUE TRUE TRUE FALSE FALSE
"24" TRUE TRUE TRUE TRUE FALSE FALSE
"25" TRUE TRUE TRUE TRUE FALSE FALSE
"26" TRUE TRUE TRUE TRUE FALSE FALSE
"27" TRUE TRUE TRUE TRUE FALSE FALSE
"28" TRUE TRUE TRUE TRUE FALSE FALSE
"29" TRUE TRUE TRUE TRUE FALSE FALSE
"30" TRUE TRUE TRUE TRUE FALSE FALSE
"31" TRUE TRUE TRUE TRUE FALSE FALSE
"32" TRUE TRUE TRUE TRUE FALSE FALSE
"33" TRUE TRUE TRUE TRUE FALSE FALSE
"34" TRUE TRUE TRUE TRUE FALSE FALSE
"35" TRUE TRUE TRUE TRUE FALSE FALSE
"36" TRUE TRUE TRUE TRUE FALSE FALSE
"37" TRUE TRUE TRUE TRUE FALSE FALSE
"38" TRUE TRUE TRUE TRUE FALSE FALSE
"39" TRUE TRUE TRUE TRUE FALSE FALSE
"40" TRUE TRUE TRUE TRUE FALSE FALSE
"41" TRUE TRUE TRUE TRUE FALSE FALSE
"42" TRUE TRUE TRUE TRUE FALSE FALSE
"43" TRUE TRUE TRUE TRUE FALSE FALSE
"44" TRUE TRUE TRUE TRUE FALSE FALSE
