"V1" "V2" "V3" "V4" "V5" "V6"
"1" FALSE FALSE TRUE TRUE TRUE TRUE
"2" FALSE FALSE TRUE TRUE TRUE TRUE
"3" FALSE FALSE TRUE TRUE TRUE TRUE
"4" FALSE FALSE TRUE TRUE TRUE TRUE
"5" FALSE FALSE TRUE TRUE TRUE TRUE
"6" FALSE FALSE TRUE TRUE TRUE TRUE
"7" FALSE FALSE TRUE TRUE TRUE TRUE
"8" FALSE FALSE TRUE TRUE TRUE TRUE
"9" FALSE FALSE TRUE TRUE TRUE TRUE
"10" FALSE FALSE TRUE TRUE TRUE TRUE
"11" FALSE FALSE TRUE TRUE TRUE TRUE
"12" FALSE FALSE TRUE TRUE TRUE TRUE
"13" FALSE FALSE TRUE TRUE TRUE TRUE
"14" FALSE FALSE TRUE TRUE TRUE TRUE
"15" FALSE FALSE TRUE TRUE TRUE TRUE
"16" FALSE FALSE TRUE TRUE TRUE TRUE
"17" FALSE FALSE TRUE TRUE TRUE TRUE
"18" FALSE FALSE TRUE TRUE TRUE TRUE
"19" FALSE FALSE TRUE TRUE TRUE TRUE
"20" FALSE FALSE TRUE TRUE TRUE TRUE
"21" FALSE FALSE TRUE TRUE TRUE TRUE
"22" FALSE FALSE TRUE TRUE TRUE TRUE
"23" FALSE FALSE TRUE TRUE TRUE TRUE
"24" FALSE FALSE TRUE TRUE TRUE TRUE
"25" FALSE FALSE TRUE TRUE TRUE TRUE
"26" FALSE FALSE TRUE TRUE TRUE TRUE
"27" FALSE FALSE TRUE TRUE TRUE TRUE
"28" FALSE FALSE TRUE TRUE TRUE TRUE
"29" FALSE FALSE TRUE TRUE TRUE TRUE
"30" FALSE FALSE TRUE TRUE TRUE TRUE
"31" FALSE FALSE TRUE TRUE TRUE TRUE
"32" FALSE FALSE TRUE TRUE TRUE TRUE
"33" FALSE FALSE TRUE TRUE TRUE TRUE
"34" FALSE FALSE TRUE TRUE TRUE TRUE
"35" FALSE FALSE TRUE TRUE TRUE TRUE
"36" FALSE FALSE TRUE TRUE TRUE TRUE
"37" FALSE FALSE TRUE TRUE TRUE TRUE
"38" FALSE FALSE TRUE TRUE TRUE TRUE
"39" FALSE FALSE TRUE TRUE TRUE TRUE
"40" FALSE FALSE TRUE TRUE TRUE TRUE
"41" FALSE FALSE TRUE TRUE TRUE TRUE
"42" FALSE FALSE TRUE TRUE TRUE TRUE
"43" FALSE FALSE TRUE TRUE TRUE TRUE
"44" FALSE FALSE TRUE TRUE TRUE TRUE
"45" FALSE FALSE TRUE TRUE TRUE TRUE
"46" FALSE FALSE TRUE TRUE TRUE TRUE
"47" FALSE FALSE TRUE TRUE TRUE TRUE
"48" FALSE FALSE TRUE TRUE TRUE TRUE
"49" FALSE TRUE TRUE TRUE TRUE TRUE
"50" FALSE TRUE TRUE TRUE TRUE TRUE
"51" FALSE TRUE TRUE TRUE TRUE TRUE
"52" FALSE TRUE TRUE TRUE TRUE TRUE
"53" FALSE TRUE TRUE TRUE TRUE TRUE
"54" FALSE TRUE TRUE TRUE TRUE TRUE
"55" FALSE TRUE TRUE TRUE TRUE TRUE
"56" FALSE TRUE TRUE TRUE TRUE TRUE
"57" FALSE TRUE TRUE TRUE TRUE TRUE
"58" FALSE TRUE TRUE TRUE TRUE TRUE
"59" FALSE TRUE TRUE TRUE TRUE TRUE
"60" FALSE TRUE TRUE TRUE TRUE TRUE
"61" FALSE TRUE TRUE TRUE TRUE TRUE
"62" FALSE TRUE TRUE TRUE TRUE TRUE
"63" FALSE TRUE TRUE TRUE TRUE TRUE
"64" FALSE TRUE TRUE TRUE TRUE TRUE
"65" FALSE TRUE TRUE TRUE TRUE TRUE
"66" FALSE TRUE TRUE TRUE TRUE TRUE
"67" FALSE TRUE TRUE TRUE TRUE TRUE
"68" FALSE TRUE TRUE TRUE TRUE TRUE
"69" FALSE TRUE TRUE TRUE TRUE TRUE
"70" FALSE TRUE TRUE TRUE TRUE TRUE
"71" FALSE TRUE TRUE TRUE TRUE TRUE
"72" FALSE TRUE TRUE TRUE TRUE TRUE
"73" FALSE TRUE TRUE TRUE TRUE TRUE
"74" FALSE TRUE TRUE TRUE TRUE TRUE
"75" FALSE TRUE TRUE TRUE TRUE TRUE
"76" FALSE TRUE TRUE TRUE TRUE TRUE
"77" FALSE TRUE TRUE TRUE TRUE TRUE
